Weight,Height
45,126
45,121
45,128
45,129
45,117
45,120
46,126
46,124
46,126
46,122
46,129
46,129
46,126
46,130
46,128
46,122
46,127
46,122
47,130
47,126
47,126
47,124
47,132
47,126
47,125
47,125
47,129
47,128
47,128
47,128
48,136
48,126
48,126
48,124
48,130
48,132
48,127
48,124
48,124
48,130
48,131
49,131
49,126
49,129
49,129
49,129
49,132
49,129
49,131
49,129
49,130
49,131
49,123
50,128
50,128
50,127
50,128
50,135
50,126
50,133
50,123
50,128
50,130
50,132
50,132
51,134
51,129
51,129
51,134
51,130
51,125
51,126
51,127
51,132
51,131
51,133
52,130
52,132
52,134
52,130
52,133
52,129
52,130
52,130
52,127
52,133
52,130
52,131
53,134
53,134
53,135
53,132
53,131
53,132
53,126
53,127
53,127
53,128
53,134
53,129
54,132
54,138
54,132
54,136
54,130
54,132
54,129
54,132
54,137
54,126
54,135
55,135
55,132
55,128
55,135
55,132
55,135
55,134
55,141
55,133
55,130
55,135
55,135
56,141
56,139
56,137
56,141
56,130
56,133
56,131
56,134
56,130
56,138
56,134
57,130
57,132
57,137
57,140
57,144
57,148
57,138
57,132
57,128
57,137
57,133
57,134
58,135
58,137
58,141
58,138
58,136
58,133
58,130
58,135
58,137
58,144
58,138
58,141
59,136
59,133
59,134
59,135
59,147
59,135
59,141
59,134
59,142
59,140
59,137
60,139
60,136
60,141
60,137
60,134
60,134
60,140
60,145
60,140
60,139
60,140
60,144
61,141
61,138
61,144
61,142
61,146
61,141
61,135
61,134
61,147
61,147
61,139
61,138
62,147
62,136
62,137
62,143
62,139
62,141
62,140
62,142
62,147
62,141
62,143
63,134
63,142
63,138
63,137
63,138
63,141
63,146
63,137
63,142
63,140
63,141
63,146
64,145
64,148
64,142
64,140
64,142
64,144
64,144
64,138
64,143
64,144
64,153
64,150
65,140
65,143
65,138
65,141
65,145
65,149
65,141
65,141
65,135
65,143
65,140
66,143
66,141
66,144
66,138
66,139
66,153
66,140
66,140
66,152
66,156
66,140
66,143
67,147
67,153
67,142
67,145
67,149
67,147
67,144
67,145
67,140
67,145
67,145
67,147
68,144
68,148
68,151
68,147
68,148
68,147
68,147
68,144
68,148
68,146
68,155
69,154
